time,P
20230209:0510,0.0
20230209:0610,0.0
20230209:0710,0.0
20230209:0810,156.85
20230209:0910,291.12
20230209:1010,410.97
20230209:1110,512.36
20230209:1210,407.55
20230209:1310,144.35
20230209:1410,63.08
20230209:1510,61.47
20230209:1610,51.43
20230209:1710,0.0
20230209:1810,0.0
20230209:1910,0.0
20230209:2010,0.0
20230209:2110,0.0
20230209:2210,0.0
20230209:2310,0.0
20230210:0010,0.0
20230210:0110,0.0
20230210:0210,0.0
20230210:0310,0.0
20230210:0410,0.0
20230210:0510,0.0
20230210:0610,0.0
20230210:0710,0.0
20230210:0810,160.6
20230210:0910,357.01
20230210:1010,510.16
20230210:1110,588.3
20230210:1210,630.42
20230210:1310,592.23
20230210:1410,532.61
20230210:1510,402.07
20230210:1610,213.26
20230210:1710,0.0
20230210:1810,0.0
20230210:1910,0.0
20230210:2010,0.0
20230210:2110,0.0
20230210:2210,0.0
20230210:2310,0.0
20230211:0010,0.0
20230211:0110,0.0
20230211:0210,0.0
20230211:0310,0.0
20230211:0410,0.0
20230211:0510,0.0
20230211:0610,0.0
20230211:0710,0.52
20230211:0810,174.36
20230211:0910,365.0
20230211:1010,511.62
20230211:1110,592.88
20230211:1210,624.47
20230211:1310,609.18
20230211:1410,540.88
20230211:1510,403.07
20230211:1610,220.02
20230211:1710,0.0
20230211:1810,0.0
20230211:1910,0.0
20230211:2010,0.0
20230211:2110,0.0
20230211:2210,0.0
20230211:2310,0.0
20230212:0010,0.0
20230212:0110,0.0
20230212:0210,0.0
20230212:0310,0.0
20230212:0410,0.0
20230212:0510,0.0
20230212:0610,0.0
20230212:0710,1.91
20230212:0810,179.96
20230212:0910,369.45
20230212:1010,514.91
20230212:1110,607.24
20230212:1210,637.98
20230212:1310,624.31
20230212:1410,551.63
20230212:1510,412.43
20230212:1610,223.5
20230212:1710,0.0
20230212:1810,0.0
20230212:1910,0.0
20230212:2010,0.0
20230212:2110,0.0
20230212:2210,0.0
20230212:2310,0.0
20230213:0010,0.0
20230213:0110,0.0
20230213:0210,0.0
20230213:0310,0.0
20230213:0410,0.0
20230213:0510,0.0
20230213:0610,0.0
20230213:0710,2.43
20230213:0810,182.73
20230213:0910,372.91
20230213:1010,515.82
20230213:1110,601.73
20230213:1210,638.23
20230213:1310,616.33
20230213:1410,546.54
20230213:1510,409.03
20230213:1610,226.47
20230213:1710,0.0
20230213:1810,0.0
20230213:1910,0.0
20230213:2010,0.0
20230213:2110,0.0
20230213:2210,0.0
20230213:2310,0.0
20230214:0010,0.0
20230214:0110,0.0
20230214:0210,0.0
20230214:0310,0.0
20230214:0410,0.0
20230214:0510,0.0
20230214:0610,0.0
20230214:0710,3.47
20230214:0810,183.16
20230214:0910,370.95
20230214:1010,523.68
20230214:1110,610.13
20230214:1210,647.92
20230214:1310,643.17
20230214:1410,556.86
20230214:1510,420.17
20230214:1610,239.23
20230214:1710,0.0
20230214:1810,0.0
20230214:1910,0.0
20230214:2010,0.0
20230214:2110,0.0
20230214:2210,0.0
20230214:2310,0.0
20230215:0010,0.0
20230215:0110,0.0
20230215:0210,0.0
20230215:0310,0.0
20230215:0410,0.0
20230215:0510,0.0
20230215:0610,0.0
20230215:0710,1.87
20230215:0810,118.02
20230215:0910,306.12
20230215:1010,499.84
20230215:1110,610.61
20230215:1210,631.96
20230215:1310,604.16
20230215:1410,518.44
20230215:1510,328.7
20230215:1610,186.82
20230215:1710,0.0
20230215:1810,0.0
20230215:1910,0.0
20230215:2010,0.0
20230215:2110,0.0
20230215:2210,0.0
20230215:2310,0.0
20230216:0010,0.0
20230216:0110,0.0
20230216:0210,0.0
20230216:0310,0.0
20230216:0410,0.0
20230216:0510,0.0
20230216:0610,0.0
20230216:0710,5.7
20230216:0810,156.61
20230216:0910,300.94
20230216:1010,237.23
20230216:1110,260.72
20230216:1210,267.67
20230216:1310,318.25
20230216:1410,432.74
20230216:1510,295.71
20230216:1610,174.76
20230216:1710,0.0
20230216:1810,0.0
20230216:1910,0.0
20230216:2010,0.0
20230216:2110,0.0
20230216:2210,0.0
20230216:2310,0.0
20230217:0010,0.0
20230217:0110,0.0
20230217:0210,0.0
20230217:0310,0.0
20230217:0410,0.0
20230217:0510,0.0
20230217:0610,0.0
20230217:0710,7.04
20230217:0810,197.56
20230217:0910,392.01
20230217:1010,529.45
20230217:1110,614.9
20230217:1210,629.52
20230217:1310,614.32
20230217:1410,547.66
20230217:1510,419.0
20230217:1610,237.5
20230217:1710,0.45
20230217:1810,0.0
20230217:1910,0.0
20230217:2010,0.0
20230217:2110,0.0
20230217:2210,0.0
20230217:2310,0.0
20230218:0010,0.0
20230218:0110,0.0
20230218:0210,0.0
20230218:0310,0.0
20230218:0410,0.0
20230218:0510,0.0
20230218:0610,0.0
20230218:0710,8.27
20230218:0810,194.63
20230218:0910,383.63
20230218:1010,519.99
20230218:1110,604.85
20230218:1210,621.73
20230218:1310,619.36
20230218:1410,554.88
20230218:1510,424.04
20230218:1610,240.7
20230218:1710,2.83
20230218:1810,0.0
20230218:1910,0.0
20230218:2010,0.0
20230218:2110,0.0
20230218:2210,0.0
20230218:2310,0.0
20230219:0010,0.0
20230219:0110,0.0
20230219:0210,0.0
20230219:0310,0.0
20230219:0410,0.0
20230219:0510,0.0
20230219:0610,0.0
20230219:0710,9.63
20230219:0810,198.14
20230219:0910,380.1
20230219:1010,513.26
20230219:1110,590.98
20230219:1210,625.04
20230219:1310,614.28
20230219:1410,538.01
20230219:1510,410.98
20230219:1610,228.06
20230219:1710,4.35
20230219:1810,0.0
20230219:1910,0.0
20230219:2010,0.0
20230219:2110,0.0
20230219:2210,0.0
20230219:2310,0.0
20230220:0010,0.0
20230220:0110,0.0
20230220:0210,0.0
20230220:0310,0.0
20230220:0410,0.0
20230220:0510,0.0
20230220:0610,0.0
20230220:0710,11.58
20230220:0810,204.02
20230220:0910,388.65
20230220:1010,511.57
20230220:1110,602.53
20230220:1210,635.5
20230220:1310,627.22
20230220:1410,558.78
20230220:1510,429.2
20230220:1610,247.46
20230220:1710,4.86
20230220:1810,0.0
20230220:1910,0.0
20230220:2010,0.0
20230220:2110,0.0
20230220:2210,0.0
20230220:2310,0.0
20230221:0010,0.0
20230221:0110,0.0
20230221:0210,0.0
20230221:0310,0.0
20230221:0410,0.0
20230221:0510,0.0
20230221:0610,0.0
20230221:0710,11.57
20230221:0810,165.91
20230221:0910,158.43
20230221:1010,355.04
20230221:1110,605.77
20230221:1210,652.67
20230221:1310,628.58
20230221:1410,552.72
20230221:1510,405.48
20230221:1610,141.53
20230221:1710,0.0
20230221:1810,0.0
20230221:1910,0.0
20230221:2010,0.0
20230221:2110,0.0
20230221:2210,0.0
20230221:2310,0.0
20230222:0010,0.0
20230222:0110,0.0
20230222:0210,0.0
20230222:0310,0.0
20230222:0410,0.0
20230222:0510,0.0
20230222:0610,0.0
20230222:0710,16.77
20230222:0810,141.5
20230222:0910,154.6
20230222:1010,427.86
20230222:1110,596.66
20230222:1210,643.75
20230222:1310,622.45
20230222:1410,546.41
20230222:1510,408.01
20230222:1610,231.37
20230222:1710,3.31
20230222:1810,0.0
20230222:1910,0.0
20230222:2010,0.0
20230222:2110,0.0
20230222:2210,0.0
